Date,Open,High,Low,Close,Adj Close,Volume
2017-11-30,616.500000,621.250000,613.150024,616.549988,611.569397,3870832
2017-12-01,619.700012,635.500000,597.200012,599.950012,595.103516,5925552
2017-12-04,605.000000,606.650024,582.299988,590.650024,585.878662,2313860
2017-12-05,580.500000,600.849976,575.549988,596.650024,591.830200,3780450
2017-12-06,590.000000,595.000000,583.650024,586.000000,581.266235,1626874
2017-12-07,585.000000,604.650024,584.500000,601.849976,596.988159,1987387
2017-12-08,606.400024,611.299988,596.900024,601.049988,596.194641,1938034
2017-12-11,605.700012,605.750000,598.099976,600.099976,595.252258,1125093
2017-12-12,596.950012,599.000000,577.750000,582.049988,577.348083,1383812
2017-12-13,584.000000,591.500000,572.500000,576.250000,571.594971,2226432
2017-12-14,583.799988,591.450012,575.000000,586.950012,582.208557,2576116
2017-12-15,596.950012,598.000000,590.000000,591.750000,586.969788,2067415
2017-12-18,584.000000,609.150024,570.250000,602.400024,597.533752,2387638
2017-12-19,606.250000,613.000000,603.000000,609.700012,604.774780,1272010
2017-12-20,613.000000,624.500000,603.750000,607.000000,602.096497,3299440
2017-12-21,609.700012,610.000000,598.700012,600.500000,595.649048,1788142
2017-12-22,602.000000,602.950012,588.250000,593.400024,588.606445,1767805
2017-12-26,593.599976,601.200012,587.500000,595.049988,590.243042,1717461
2017-12-27,598.000000,604.450012,590.500000,592.900024,588.110474,1864918
2017-12-28,595.500000,595.750000,581.099976,585.700012,580.968628,3036415
2017-12-29,588.799988,591.000000,581.000000,582.700012,577.992859,1915618
2018-01-01,582.000000,600.750000,581.799988,590.849976,586.077026,2377449
2018-01-02,594.900024,595.000000,576.349976,583.400024,578.687256,1306256
2018-01-03,586.000000,591.849976,585.000000,587.650024,582.902893,921001
2018-01-04,590.299988,590.900024,584.000000,588.549988,583.795532,1597148
2018-01-05,590.000000,614.400024,590.000000,611.500000,606.560181,3966512
2018-01-08,615.450012,624.799988,606.099976,620.950012,615.933838,3800324
2018-01-09,625.000000,629.400024,618.400024,624.700012,619.653564,2948812
2018-01-10,626.000000,626.000000,612.700012,615.849976,610.875000,1437240
2018-01-11,615.000000,623.650024,613.500000,617.099976,612.114929,863770
2018-01-12,621.500000,622.950012,604.450012,614.150024,609.188782,2127221
2018-01-15,620.000000,622.000000,615.400024,616.900024,611.916626,1024941
2018-01-16,619.900024,619.900024,597.599976,602.049988,597.186523,1417024
2018-01-17,597.099976,610.599976,589.250000,608.950012,604.030823,1950076
2018-01-18,610.950012,613.000000,584.000000,590.150024,585.382690,1221764
2018-01-19,590.150024,615.150024,582.650024,612.500000,607.552124,3241773
2018-01-22,615.000000,638.000000,614.000000,631.049988,625.952209,6239147
2018-01-23,635.000000,636.750000,604.950012,613.849976,608.891174,4227361
2018-01-24,607.750000,607.750000,565.549988,578.849976,574.173950,9025149
2018-01-25,575.000000,604.000000,571.250000,595.799988,590.987061,6974220
2018-01-29,599.799988,608.650024,592.650024,596.250000,591.433411,4309832
2018-01-30,596.900024,601.000000,584.299988,588.450012,583.696411,2043362
2018-01-31,586.000000,594.000000,578.099976,582.200012,577.496887,2034304
2018-02-01,586.500000,595.750000,564.299988,568.349976,563.758789,3576004
2018-02-02,563.700012,563.700012,512.000000,519.450012,515.253845,7725497
2018-02-05,505.000000,524.500000,482.000000,509.799988,505.681732,7154780
2018-02-06,482.000000,510.600006,468.799988,505.549988,501.466064,9299530
2018-02-07,519.000000,519.500000,495.950012,500.200012,496.159302,3429708
2018-02-08,504.899994,517.900024,500.000000,513.400024,509.252686,4580018
2018-02-09,501.000000,520.500000,494.500000,514.450012,510.294189,3078295
2018-02-12,517.000000,532.599976,517.000000,525.750000,521.502869,3086170
2018-02-14,532.000000,565.000000,530.000000,552.000000,547.540833,11634668
2018-02-15,556.000000,572.000000,548.150024,553.049988,548.582336,4142964
2018-02-16,558.900024,564.500000,534.500000,541.299988,536.927246,3580363
2018-02-19,541.700012,549.349976,532.150024,547.299988,542.878784,2677332
2018-02-20,548.000000,555.599976,540.000000,545.099976,540.696533,2260570
2018-02-21,548.000000,560.000000,540.099976,557.349976,552.847656,2934005
2018-02-22,553.099976,562.000000,547.400024,551.049988,546.598511,2881036
2018-02-23,553.000000,580.400024,551.599976,576.299988,571.644531,6188969
2018-02-26,581.450012,589.700012,572.500000,582.400024,577.695313,4182370
2018-02-27,586.950012,589.950012,560.599976,563.400024,558.848816,2982273
2018-02-28,558.000000,562.500000,544.049988,546.200012,541.787720,4716559
2018-03-01,544.900024,553.049988,533.299988,537.599976,533.257141,2670884
2018-03-05,531.599976,539.500000,523.700012,532.099976,527.801575,3686934
2018-03-06,538.000000,545.799988,497.100006,508.399994,504.293060,5429872
2018-03-07,505.600006,517.400024,495.000000,497.750000,493.729095,5573299
2018-03-08,503.850006,511.149994,480.450012,494.450012,490.455750,8329656
2018-03-09,496.700012,512.000000,490.049988,496.250000,492.241211,4104359
2018-03-12,502.850006,521.200012,497.600006,513.900024,509.748657,5945277
2018-03-13,514.000000,525.599976,510.600006,516.150024,511.980469,5171004
2018-03-14,513.700012,527.200012,512.549988,521.700012,517.485596,3003145
2018-03-15,520.000000,524.900024,513.000000,515.450012,511.286102,1972293
2018-03-16,515.000000,522.000000,507.049988,510.350006,506.227295,2531783
2018-03-19,512.450012,514.400024,495.100006,496.899994,492.885956,2505264
2018-03-20,495.000000,510.750000,492.799988,503.399994,499.333466,3921257
2018-03-21,508.200012,528.900024,508.000000,520.200012,515.997742,7168658
2018-03-22,523.450012,533.000000,516.250000,517.700012,513.517944,5897227
2018-03-23,504.500000,506.899994,491.000000,495.149994,491.150085,7789701
2018-03-26,493.000000,505.000000,491.200012,502.500000,498.440704,4374713
2018-03-27,508.100006,524.000000,507.149994,521.750000,517.535217,3509408
2018-03-28,517.200012,524.000000,507.000000,510.149994,506.028931,4692853
2018-04-02,515.099976,526.099976,512.250000,523.049988,518.824707,2167081
